Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,30/08/2008,Espanol,Valladolid,1,0,H,0,0,D,10,11,2,1,18,17,1,9,3,5,0,0,2,3.3,3.8,1.8,3.25,4.1,2,3.2,3.75,1.75,3.2,4.3,1.8,3.2,4,1.85,3.2,4,1.83,3.2,3.75,2,3.2,4,1.9,3.25,3.5,1.8,3.25,4.33,37,2.09,1.9,3.4,3.25,4.5,3.99,29,2.12,2.04,1.83,1.72,20,0,1.46,1.4,3,2.77
SP1,30/08/2008,Valencia,Mallorca,3,0,H,2,0,H,17,16,6,2,17,14,5,6,4,0,0,0,1.7,3.6,5.25,1.65,3.35,5,1.75,3.3,5,1.7,3.3,4.5,1.62,3.5,4.5,1.65,3.4,5,1.67,3.3,4.5,1.73,3.5,5,1.65,3.4,4.5,1.67,3.4,5,37,1.75,1.7,3.88,3.42,5.4,4.85,30,2,1.92,1.93,1.82,18,-0.5,1.76,1.73,2.21,2.16
SP1,31/08/2008,Ath Bilbao,Almeria,1,3,A,0,2,A,10,11,4,5,35,20,2,6,2,4,0,0,2,3.3,3.8,1.9,3.2,3.8,2,3.2,3.75,2,3,3.6,1.91,3.2,3.5,1.9,3.25,3.75,1.91,3.2,3.5,2,3.2,4,1.9,3.2,3.6,1.91,3.25,3.75,38,2.1,1.96,3.4,3.23,4,3.7,29,2.25,2.16,1.7,1.63,19,0,1.47,1.44,2.75,2.62
SP1,31/08/2008,Ath Madrid,Malaga,4,0,H,3,0,H,25,7,9,2,16,13,11,7,1,2,0,0,1.44,4.2,7.5,1.4,3.8,7.95,1.5,3.6,7.5,1.45,3.6,7,1.44,3.6,6.5,1.45,3.75,7,1.4,3.75,7,1.36,4.5,9,1.45,3.75,7,1.5,3.75,6,38,1.5,1.44,4.7,3.92,9,7.42,29,1.8,1.76,2.11,1.98,19,0,1.14,1.12,6.5,5.52
SP1,31/08/2008,Betis,Recreativo,0,1,A,0,1,A,8,13,2,6,17,18,2,2,3,1,0,0,2,3.25,3.8,1.75,3.3,4.4,1.95,3.2,4,1.9,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4.2,1.8,3.25,3.8,1.9,3.2,4.5,1.75,3.25,4.35,1.73,3.3,4.5,36,2.1,1.86,3.36,3.26,4.6,4.15,27,2.25,2.07,1.8,1.7,18,0,1.4,1.34,3.25,3.04
SP1,31/08/2008,La Coruna,Real Madrid,2,1,H,1,0,H,11,18,3,4,18,17,6,5,4,3,0,0,3.5,3.3,2.1,3.9,3.25,1.85,3.5,3.2,2.1,3.2,3.1,2.1,3.2,3.2,2,3.6,3.25,1.95,3.3,3.25,1.95,4,3.5,1.9,3.25,3.25,2,3.25,3.25,2.1,38,4,3.49,3.51,3.27,2.15,2.04,31,1.94,1.84,2,1.88,19,0,2.75,2.56,1.52,1.46
SP1,31/08/2008,Numancia,Barcelona,1,0,H,1,0,H,5,25,2,5,16,8,2,7,0,2,0,0,7,4,1.5,6.45,3.55,1.5,6.5,3.75,1.53,6,3.6,1.5,7,3.75,1.4,6.5,3.6,1.5,7,3.75,1.4,6.5,3.75,1.57,7,3.75,1.45,5.5,3.75,1.53,38,7.7,6.6,4.37,3.74,1.57,1.5,31,1.81,1.72,2.2,2.05,19,1,2.08,2.03,1.87,1.83
SP1,31/08/2008,Osasuna,Villarreal,1,1,D,0,0,D,10,12,1,3,18,10,10,2,2,1,1,1,2.8,3.3,2.5,2.9,3.25,2.2,2.75,3.2,2.5,2.8,3.1,2.3,2.75,3,2.38,2.8,3.2,2.3,2.62,3.2,2.3,2.75,3.2,2.6,2.9,3.2,2.25,2.8,3.25,2.3,38,2.9,2.76,3.4,3.22,2.64,2.42,29,2.22,2.1,1.72,1.67,20,0,2.05,1.96,1.93,1.83
SP1,31/08/2008,Santander,Sevilla,1,1,D,0,0,D,7,13,2,4,20,11,4,6,2,0,0,0,2.8,3.3,2.5,2.65,3.25,2.4,2.75,3.25,2.45,2.55,3.1,2.55,2.6,3.2,2.38,2.6,3.2,2.5,2.75,3.2,2.25,2.9,3.5,2.3,2.7,3.1,2.4,2.7,3.25,2.38,38,3.08,2.74,3.5,3.21,2.55,2.44,29,1.97,1.9,1.93,1.83,20,0,2.18,2.03,1.8,1.77
SP1,31/08/2008,Sp Gijon,Getafe,1,2,A,1,1,D,13,16,2,9,16,15,2,7,4,2,0,0,2.62,3.3,2.62,2.6,3.15,2.5,2.5,3.2,2.75,2.4,3,2.8,2.38,3.2,2.6,2.6,3.2,2.5,2.4,3.1,2.6,2.6,3.25,2.7,2.5,3.1,2.65,2.6,3.2,2.4,28,2.7,2.55,3.34,3.17,2.99,2.61,19,2.25,2.16,1.7,1.63,16,0,1.87,1.84,2.09,1.95
SP1,13/09/2008,Barcelona,Santander,1,1,D,0,0,D,18,2,7,1,9,20,9,1,1,7,0,0,1.29,5,12,1.28,4.4,10.5,1.3,4.75,10,1.27,4.6,9,1.29,4.5,8,1.28,4.75,9,1.29,4.5,8,1.33,4.75,10,1.29,5,9,1.29,5,9,38,1.33,1.29,5.95,4.82,13.85,9.96,32,1.7,1.63,2.25,2.17,20,-1.5,1.9,1.86,2.04,1.96
SP1,13/09/2008,Valladolid,Ath Madrid,2,1,H,2,0,H,9,19,4,8,19,15,9,5,2,2,1,0,3.2,3.4,2.2,3.05,3.25,2.15,3,3.25,2.3,2.8,3.1,2.3,3,3.2,2.1,3,3.2,2.2,2.9,3.2,2.15,3.2,3.25,2.3,2.9,3.25,2.25,3,3.3,2.2,38,3.35,3.05,3.45,3.23,2.36,2.24,31,2.11,1.99,1.83,1.75,19,0,2.37,2.22,1.71,1.62
